t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
60,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549978,2.548476,2.518346,2.327465
120,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549930,2.548618,2.535336,2.463132,2.242331
180,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549997,2.549934,2.549174,2.543251,2.513221,2.412248,2.180009
240,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549997,2.549955,2.549557,2.546864,2.533756,2.487438,2.366740,2.129421
300,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549973,2.549772,2.548528,2.542634,2.521162,2.460487,2.325733,2.086465
360,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549985,2.549884,2.549302,2.546595,2.536533,2.506437,2.433455,2.288411,2.048965
420,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549992,2.549942,2.549666,2.548403,2.543641,2.528792,2.490311,2.406882,2.254172,2.015538
480,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549971,2.549838,2.549241,2.546967,2.539649,2.519682,2.473299,2.381019,2.222530,1.985290
540,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549985,2.549921,2.549635,2.548540,2.544930,2.534668,2.509466,2.455769,2.355980,2.193094,1.957697
600,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549993,2.549961,2.549823,2.549291,2.547505,2.542259,2.528776,2.498367,2.437961,2.331772,2.165561,1.932381
660,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549996,2.549981,2.549913,2.549653,2.548765,2.546090,2.538951,2.522065,2.486568,2.420042,2.308392,2.139704,1.909032
720,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549998,2.549990,2.549957,2.549828,2.549385,2.548021,2.544266,2.535019,2.514622,2.474218,2.402125,2.285811,2.115349,1.887356
780,2.550000,2.550000,2.550000,2.550000,2.550000,2.550000,2.549999,2.549995,2.549978,2.549914,2.549692,2.548994,2.547026,2.542013,2.530489,2.506538,2.461441,2.384305,2.264022,2.092341,1.867119
