scenario,T_platform_C,hm_factor,t_dry_s,t_dry_h,X_mean_event,X_std_event,X_range_event,X_surface_event,X_min_event,X_max_event,is_baseline,is_pareto,representative
T48_hm1,48,1,220732.918,61.31469944,0.1243359553,0.01942991146,0.09767101702,0.05232898199,0.05232898199,0.149999999,False,False,
T48.25_hm1,48.25,1,218943.6992,60.81769423,0.1243360506,0.01942963147,0.09764788799,0.05235211276,0.05235211276,0.1500000008,False,False,
T48.5_hm1,48.5,1,217174.5352,60.32625977,0.1243361472,0.01942934699,0.09762457694,0.05237542385,0.05237542385,0.1500000008,False,False,
T48.75_hm1,48.75,1,215425.1758,59.84032661,0.1243362458,0.01942905814,0.09760108364,0.05239891642,0.05239891642,0.1500000001,False,False,
T49_hm1,49,1,213695.3711,59.3598253,0.1243363479,0.01942876522,0.09757740877,0.05242259173,0.05242259173,0.1500000005,False,False,
T49.25_hm1,49.25,1,211984.8867,58.88469076,0.1243364525,0.01942846789,0.09755354984,0.05244645079,0.05244645079,0.1500000006,False,False,
T49.5_hm1,49.5,1,210293.4883,58.41485786,0.1243365592,0.01942816596,0.09752950513,0.05247049465,0.05247049465,0.1499999998,False,False,
T49.75_hm1,49.75,1,208620.9336,57.95025933,0.1243366697,0.01942785985,0.09750527586,0.05249472464,0.05249472464,0.1500000005,False,False,
T50_hm1,50,1,206967.0039,57.49083442,0.1243367819,0.01942754886,0.09748085784,0.05251914163,0.05251914163,0.1499999995,False,False,
T50.165_hm1,50.165,1,205885.4961,57.19041558,0.1243368582,0.01942734126,0.09746463975,0.05253535998,0.05253535998,0.1499999997,True,False,
T50.25_hm1,50.25,1,205331.457,57.03651584,0.1243368989,0.01942723375,0.09745625397,0.0525437471,0.0525437471,0.1500000011,False,False,
T50.5_hm1,50.5,1,203714.0898,56.58724718,0.1243370162,0.01942691329,0.09743145744,0.05256854168,0.05256854168,0.1499999991,False,False,
T50.75_hm1,50.75,1,202114.6602,56.14296115,0.1243371386,0.01942658859,0.09740647282,0.05259352702,0.05259352702,0.1499999998,False,False,
T51_hm1,51,1,200532.957,55.70359918,0.1243372644,0.01942625918,0.09738129701,0.05261870411,0.05261870411,0.1500000011,False,False,
T51.25_hm1,51.25,1,198968.7773,55.26910482,0.124337391,0.01942592429,0.09735592548,0.05264407378,0.05264407378,0.1499999993,False,False,
T51.5_hm1,51.5,1,197421.8867,54.83941298,0.1243375234,0.01942558511,0.09733036319,0.05266963775,0.05266963775,0.1500000009,False,False,
T51.75_hm1,51.75,1,195892.0977,54.41447157,0.1243376567,0.01942524029,0.09730460279,0.05269539662,0.05269539662,0.1499999994,False,False,
T52_hm1,52,1,194379.1836,53.99421766,0.1243377955,0.01942489091,0.09727864868,0.05272135206,0.05272135206,0.1500000007,False,True,fastest+most_uniform+compromise
