scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T48_hm1,48,1,0,0.149999999,False,
T48_hm1,48,1,0.02,0.1499963767,False,
T48_hm1,48,1,0.04,0.1499855087,False,
T48_hm1,48,1,0.06,0.1499672999,False,
T48_hm1,48,1,0.08,0.1499417798,False,
T48_hm1,48,1,0.1,0.1499089971,False,
T48_hm1,48,1,0.12,0.1498689417,False,
T48_hm1,48,1,0.14,0.1498216014,False,
T48_hm1,48,1,0.16,0.1497668332,False,
T48_hm1,48,1,0.18,0.1497047266,False,
T48_hm1,48,1,0.2,0.1496352835,False,
T48_hm1,48,1,0.22,0.1495584824,False,
T48_hm1,48,1,0.24,0.1494742846,False,
T48_hm1,48,1,0.26,0.1493825404,False,
T48_hm1,48,1,0.28,0.1492833574,False,
T48_hm1,48,1,0.3,0.1491767038,False,
T48_hm1,48,1,0.32,0.1490625455,False,
T48_hm1,48,1,0.34,0.1489407938,False,
T48_hm1,48,1,0.36,0.1488113563,False,
T48_hm1,48,1,0.38,0.1486742932,False,
T48_hm1,48,1,0.4,0.1485295592,False,
T48_hm1,48,1,0.42,0.1483771056,False,
T48_hm1,48,1,0.44,0.1482167895,False,
T48_hm1,48,1,0.46,0.1480485773,False,
T48_hm1,48,1,0.48,0.1478724789,False,
T48_hm1,48,1,0.5,0.1476884329,False,
T48_hm1,48,1,0.52,0.147496374,False,
T48_hm1,48,1,0.54,0.1472960984,False,
T48_hm1,48,1,0.56,0.1470876342,False,
T48_hm1,48,1,0.58,0.146870936,False,
T48_hm1,48,1,0.6,0.1466459228,False,
T48_hm1,48,1,0.62,0.1464125012,False,
T48_hm1,48,1,0.64,0.146170422,False,
T48_hm1,48,1,0.66,0.1459197542,False,
T48_hm1,48,1,0.68,0.1456603981,False,
T48_hm1,48,1,0.7,0.1453922485,False,
T48_hm1,48,1,0.72,0.1451151422,False,
T48_hm1,48,1,0.74,0.1448288804,False,
T48_hm1,48,1,0.76,0.1445334708,False,
T48_hm1,48,1,0.78,0.1442287839,False,
T48_hm1,48,1,0.8,0.1439146839,False,
T48_hm1,48,1,0.82,0.1435909232,False,
T48_hm1,48,1,0.84,0.1432573559,False,
T48_hm1,48,1,0.86,0.1429139157,False,
T48_hm1,48,1,0.88,0.1425604345,False,
T48_hm1,48,1,0.9,0.1421967353,False,
T48_hm1,48,1,0.92,0.1418224658,False,
T48_hm1,48,1,0.94,0.1414375354,False,
T48_hm1,48,1,0.96,0.1410417859,False,
T48_hm1,48,1,0.98,0.1406349964,False,
T48_hm1,48,1,1,0.1402169334,False,
T48_hm1,48,1,1.02,0.1397871089,False,
T48_hm1,48,1,1.04,0.1393454914,False,
T48_hm1,48,1,1.06,0.1388918026,False,
T48_hm1,48,1,1.08,0.138425747,False,
T48_hm1,48,1,1.1,0.1379469477,False,
T48_hm1,48,1,1.12,0.1374549229,False,
T48_hm1,48,1,1.14,0.1369495146,False,
T48_hm1,48,1,1.16,0.1364303431,False,
T48_hm1,48,1,1.18,0.1358970033,False,
T48_hm1,48,1,1.2,0.1353489155,False,
T48_hm1,48,1,1.22,0.1347855879,False,
T48_hm1,48,1,1.24,0.1342066792,False,
T48_hm1,48,1,1.26,0.1336116545,False,
T48_hm1,48,1,1.28,0.1329999389,False,
T48_hm1,48,1,1.3,0.1323706508,False,
T48_hm1,48,1,1.32,0.1317232556,False,
T48_hm1,48,1,1.34,0.131057129,False,
T48_hm1,48,1,1.36,0.1303714844,False,
T48_hm1,48,1,1.38,0.1296654675,False,
T48_hm1,48,1,1.4,0.1289377137,False,
T48_hm1,48,1,1.42,0.1281875782,False,
T48_hm1,48,1,1.44,0.1274139638,False,
T48_hm1,48,1,1.46,0.1266156428,False,
T48_hm1,48,1,1.48,0.1257911548,False,
T48_hm1,48,1,1.5,0.1249386165,False,
T48_hm1,48,1,1.52,0.1240567907,False,
T48_hm1,48,1,1.54,0.1231438152,False,
T48_hm1,48,1,1.56,0.1221976045,False,
T48_hm1,48,1,1.58,0.1212154775,False,
T48_hm1,48,1,1.6,0.1201945857,False,
T48_hm1,48,1,1.62,0.1191323048,False,
T48_hm1,48,1,1.64,0.1180251504,False,
T48_hm1,48,1,1.66,0.1168691023,False,
T48_hm1,48,1,1.68,0.1156586835,False,
T48_hm1,48,1,1.7,0.1143886068,False,
T48_hm1,48,1,1.72,0.1130526785,False,
T48_hm1,48,1,1.74,0.111643032,False,
T48_hm1,48,1,1.76,0.1101501108,False,
T48_hm1,48,1,1.78,0.1085601152,False,
T48_hm1,48,1,1.8,0.1068593923,False,
T48_hm1,48,1,1.82,0.1050289048,False,
T48_hm1,48,1,1.84,0.1030433571,False,
T48_hm1,48,1,1.86,0.1008677357,False,
T48_hm1,48,1,1.88,0.09844864798,False,
T48_hm1,48,1,1.9,0.09571587815,False,
T48_hm1,48,1,1.92,0.09255183756,False,
T48_hm1,48,1,1.94,0.08874879517,False,
T48_hm1,48,1,1.96,0.08386099535,False,
T48_hm1,48,1,1.98,0.07656320991,False,
T48_hm1,48,1,2,0.05232898199,False,
T48.25_hm1,48.25,1,0,0.1500000008,False,
T48.25_hm1,48.25,1,0.02,0.1499963785,False,
T48.25_hm1,48.25,1,0.04,0.1499855105,False,
T48.25_hm1,48.25,1,0.06,0.1499673016,False,
T48.25_hm1,48.25,1,0.08,0.1499417815,False,
T48.25_hm1,48.25,1,0.1,0.1499089988,False,
T48.25_hm1,48.25,1,0.12,0.1498689434,False,
T48.25_hm1,48.25,1,0.14,0.1498216031,False,
T48.25_hm1,48.25,1,0.16,0.149766835,False,
T48.25_hm1,48.25,1,0.18,0.1497047283,False,
T48.25_hm1,48.25,1,0.2,0.1496352853,False,
T48.25_hm1,48.25,1,0.22,0.1495584841,False,
T48.25_hm1,48.25,1,0.24,0.1494742864,False,
T48.25_hm1,48.25,1,0.26,0.1493825422,False,
T48.25_hm1,48.25,1,0.28,0.1492833591,False,
T48.25_hm1,48.25,1,0.3,0.1491767056,False,
T48.25_hm1,48.25,1,0.32,0.1490625473,False,
T48.25_hm1,48.25,1,0.34,0.1489407956,False,
T48.25_hm1,48.25,1,0.36,0.1488113581,False,
T48.25_hm1,48.25,1,0.38,0.148674295,False,
T48.25_hm1,48.25,1,0.4,0.1485295609,False,
T48.25_hm1,48.25,1,0.42,0.1483771074,False,
T48.25_hm1,48.25,1,0.44,0.1482167913,False,
